Close,High,Low,Open,Volume,SMA_5,SMA_10,EMA_5,EMA_10,RSI_14,MACD,MACD_signal,Bollinger_high,Bollinger_low,Return,Target
244.95042419433594,248.08275639920348,244.6212281548445,245.34944139409683,53197400,244.46560974121093,238.5530807495117,243.44903292491824,240.46989943013983,62.71128149054626,2.47994662041458,0.615301573419666,249.0592414214676,221.70450979923552,-0.0011389815035128814,1
246.49664306640625,248.25234005966587,243.82317911276243,244.3319283268952,51326400,244.96438903808593,240.5202667236328,244.46490297208095,241.56567100037006,64.48382863771704,2.8468818510247615,1.0616176289406851,249.64225871289204,223.5719624785142,0.006312374747486027,0
246.43678283691406,249.38956194785018,244.3119941197594,247.3944454522674,48013300,245.47713317871094,242.45453338623048,245.12219626035866,242.4513276979235,64.35628365312589,3.0971484452923903,1.4687237922110263,250.69720048509126,224.25600843824859,-0.00024284399473972762,0
239.77308654785156,244.3818005030484,238.5460942392985,243.7333937698084,44433600,244.57733459472655,243.2266418457031,243.33915968952297,241.96437476154676,52.0209167253388,2.7263542103883083,1.7202498758464828,250.85270672309852,224.33609179985072,-0.027040185366615344,0
236.72056579589844,241.86796980219768,236.48114634623442,238.82541422357912,41153600,242.87550048828126,243.26953735351563,241.13296172498147,241.0109549496107,47.52695641859488,2.1612704141066104,1.8084539834985085,250.76124910122763,224.2482769607841,-0.012730873159711109,1
241.24948120117188,241.49887076126774,229.63790389196947,236.37142201455794,56833400,242.13531188964845,243.3004608154297,241.1718015503783,241.0543233589854,53.891309768007446,2.0551920828067978,1.8578016033601665,251.07975771588315,224.37976224261297,0.019131905122169668,0
237.4487762451172,243.43412542285543,235.53346633482454,241.19958958341564,47184000,240.32573852539062,242.6450637817383,239.93079311529127,240.3987693382821,48.56754551009635,1.6454711477406931,1.815335512236272,251.14321288130358,224.54466553666518,-0.015754251313333967,0
235.35391235351562,239.4838181516717,234.10696453181083,237.1295800554318,53798100,238.10916442871093,241.79314880371095,238.4051661946994,239.4815226137791,45.87740327504475,1.138601259709418,1.6799886617309014,250.6934220408778,225.8095045948644,-0.0088223823459046,0
235.1643829345703,235.97240266650644,228.67026910680244,234.84515699420854,47227600,237.1874237060547,240.88237915039062,237.3249051079897,238.69658812665023,45.63114211011976,0.7133863082054006,1.4866681910258013,250.60641784545524,226.21529693725958,-0.0008052953828132647,0
234.75538635253906,237.27920752401755,232.59068676229822,233.86756011302523,45170400,236.7943878173828,239.83494415283204,236.46839885617283,237.98000598590272,45.068927591835646,0.3394844244638193,1.257231437713405,250.48930908832446,226.6431753477107,-0.0017391944176556873,1
238.4862518310547,240.78062356819368,234.1867631010968,234.53591456798168,46273600,236.2417419433594,239.18852691650392,237.1410165144668,238.07205068502125,50.9997340229075,0.34029148335739023,1.073843446842202,250.45410967749686,227.28749798851877,0.01589256603004152,0
226.92454528808594,235.583358769024,223.6725108894593,234.96486230654432,72071200,234.13689575195312,237.23131713867187,233.73552610567322,236.04523152194207,37.490883819645816,-0.5852555478130625,0.742023647911149,250.4384115042412,227.3131723580635,-0.04847955156408401,0
220.30076599121094,225.2885573705892,216.91904404485373,223.26351528828414,76137400,231.1262664794922,234.61771545410156,229.2572727341858,233.18260142544548,32.22457557310361,-1.8321223047735202,0.22719445737421518,251.74511440799392,225.32713443233808,-0.02918934700724396,0
216.45018005371094,221.20853706339403,214.38524243690583,219.60246770742089,62547500,227.3834259033203,232.2854248046875,224.98824184069417,230.14034299422102,29.61981070357308,-3.0953025759844195,-0.43730494929751185,253.9174771626388,221.59458948775185,-0.01747876781169988,0
209.1680145263672,216.31053552178076,207.9110965632093,215.4227092543014,61368300,222.26595153808594,229.53016967773436,219.71483273591852,226.32719236370212,25.43288415278458,-4.630613114573265,-1.2759665823526625,256.81703817123065,215.98266886001934,-0.03364361039356367,1
212.96871948242188,213.42758776028128,209.06826301296118,210.7341834889886,60107600,217.16244506835938,226.70209350585938,217.4661283180863,223.89837911256026,30.9212824865305,-5.477531082904079,-2.1162794824629456,257.68867323324724,212.31388108804182,0.018170583894774106,1
213.4774627685547,214.69448503570536,209.4573042902151,212.78914514941675,48073400,214.47302856445313,224.30496215820312,216.1365731349091,222.00366705001377,31.646516472768198,-6.038065285034122,-2.9006366429771813,257.5965725771853,209.35345336275603,0.002388816946306438,0
212.170654296875,214.62463892519543,210.97358751075308,213.63706605687162,42432400,212.84700622558594,221.98663635253905,214.81460018889774,220.21584654944306,30.75336631961477,-6.512667227064469,-3.6230427597946386,257.20689211735896,206.572893038891,-0.006121528964846634,1
214.7144317626953,218.22582565599035,213.22806456968678,213.6969181399133,54385400,212.4998565673828,219.94164123535157,214.78121071349693,219.2155893154889,34.62136462311899,-6.6073655065719095,-4.219907309150093,256.11316776799663,204.71085261774553,0.011989299247109786,0
213.5772247314453,216.9589465476154,211.70181037410745,213.46749271646212,48862900,213.38169860839844,217.82382507324218,214.37988205281306,218.19043211839005,33.714689139231936,-6.696979072706569,-4.715321661861388,254.58398972630226,203.07477949977198,-0.005296369796450651,1
217.73703002929688,218.30563028145062,210.764092813104,211.04340788811464,94127800,214.33536071777343,215.7489028930664,215.49893137830767,218.10799537491857,39.9134270765762,-6.359033961756012,-5.0440641218403135,252.53910538691224,202.39832442265805,0.0194768206351692,1
220.19102478027344,220.93919345594836,218.04628066528426,220.460369765545,44299500,215.67807312011718,215.07555084228517,217.06296251229628,218.486727994074,43.28307088885497,-5.8260342626512625,-5.200458150002504,249.813213534614,202.49365444634302,0.011270452024841005,1
